"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 27 00:42:43 GMT 2022","Mon Jun 27 00:42:43 GMT 2022","439","tests","test_9kovlev_get_episodes","TestCharacters","","","test_first_episoode",""
"passed","Mon Jun 27 00:42:45 GMT 2022","Mon Jun 27 00:42:45 GMT 2022","266","tests","test_9kovlev_toolsqa","TestAccountOptions","","","test_4_account_authorized",""
"passed","Mon Jun 27 00:42:44 GMT 2022","Mon Jun 27 00:42:44 GMT 2022","344","tests","test_9kovlev_toolsqa","TestAccountOptions","","","test_2_get_token",""
"skipped","Mon Jun 27 00:42:45 GMT 2022","Mon Jun 27 00:42:45 GMT 2022","0","tests","test_book_store_account","TestBookStore","","","test_2_generate_token","Generate token"
"skipped","Mon Jun 27 00:42:51 GMT 2022","Mon Jun 27 00:42:51 GMT 2022","0","tests","test_dummy","TestSuite2","","","test_14",""
"passed","Mon Jun 27 00:43:09 GMT 2022","Mon Jun 27 00:43:09 GMT 2022","326","tests","test_get_episodes","TestEpisodes","","","test_get_episode_by_series",""
"passed","Mon Jun 27 00:42:45 GMT 2022","Mon Jun 27 00:42:45 GMT 2022","298","tests","test_9kovlev_toolsqa","TestAccountOptions","","","test_5_delete_user",""
"passed","Mon Jun 27 00:43:12 GMT 2022","Mon Jun 27 00:43:12 GMT 2022","44","tests","test_restful_booker_api","TestRestfulBooker","","","test_7_delete_booking",""
"passed","Mon Jun 27 00:42:54 GMT 2022","Mon Jun 27 00:42:55 GMT 2022","1290","tests","test_full_reqres_api_MiK","TestReqresAPI","","","test_2_check_list_resource_pages","Getting the default list of resources. Determining the number of ID resources."
"passed","Mon Jun 27 00:42:44 GMT 2022","Mon Jun 27 00:42:45 GMT 2022","268","tests","test_9kovlev_toolsqa","TestAccountOptions","","","test_3_login_existing_user",""
"passed","Mon Jun 27 00:43:11 GMT 2022","Mon Jun 27 00:43:11 GMT 2022","62","tests","test_restful_booker_api","TestRestfulBooker","","","test_5_update_booking",""
"passed","Mon Jun 27 00:43:08 GMT 2022","Mon Jun 27 00:43:08 GMT 2022","414","tests","test_get_episodes","TestEpisodes","","","test_get_all_episodes",""
"passed","Mon Jun 27 00:43:03 GMT 2022","Mon Jun 27 00:43:03 GMT 2022","324","tests","test_get_characters","TestCharacters","","","test_character_by_name",""
"passed","Mon Jun 27 00:43:06 GMT 2022","Mon Jun 27 00:43:06 GMT 2022","438","tests","test_get_characters","TestCharacters","","","test_single_character_invalid_id",""
"passed","Mon Jun 27 00:42:44 GMT 2022","Mon Jun 27 00:42:44 GMT 2022","359","tests","test_9kovlev_toolsqa","TestAccountOptions","","","test_1_create_new_user",""
"passed","Mon Jun 27 00:42:43 GMT 2022","Mon Jun 27 00:42:43 GMT 2022","341","tests","test_9kovlev_get_episodes","TestCharacters","","","test_first_episoode_by_title",""
"passed","Mon Jun 27 00:42:47 GMT 2022","Mon Jun 27 00:42:49 GMT 2022","1226","tests","test_book_store_account_version2","TestBookStore","","","test_user_create","create new user"
"passed","Mon Jun 27 00:42:49 GMT 2022","Mon Jun 27 00:42:50 GMT 2022","1472","tests","test_book_store_account_version2","TestBookStore","","","test_user_get","get new user info"
"passed","Mon Jun 27 00:43:02 GMT 2022","Mon Jun 27 00:43:03 GMT 2022","396","tests","test_get_characters","TestCharacters","","","test_character_by_invalid_name",""
"passed","Mon Jun 27 00:42:51 GMT 2022","Mon Jun 27 00:42:51 GMT 2022","0","tests","test_dummy","TestSuite","","","test_2",""
"passed","Mon Jun 27 00:42:57 GMT 2022","Mon Jun 27 00:42:58 GMT 2022","498","tests","test_full_reqres_api_MiK","TestReqresAPI","","","test_5_login","Registration successful"
"passed","Mon Jun 27 00:43:10 GMT 2022","Mon Jun 27 00:43:10 GMT 2022","650","tests","test_get_quotes","TestGetQuotes","","","test_get_random_quote",""
"skipped","Mon Jun 27 00:42:45 GMT 2022","Mon Jun 27 00:42:45 GMT 2022","1","tests","test_book_store_account","TestBookStore","","","test_5_user_delete","delete user"
"passed","Mon Jun 27 00:43:04 GMT 2022","Mon Jun 27 00:43:06 GMT 2022","1259","tests","test_get_characters","TestCharacters","","","test_character_limit_offset",""
"passed","Mon Jun 27 00:42:57 GMT 2022","Mon Jun 27 00:42:57 GMT 2022","502","tests","test_full_reqres_api_MiK","TestReqresAPI","","","test_4_registration","Registration successful"
"skipped","Mon Jun 27 00:42:51 GMT 2022","Mon Jun 27 00:42:51 GMT 2022","0","tests","test_dummy","TestSuite2","","","test_13",""
"passed","Mon Jun 27 00:43:11 GMT 2022","Mon Jun 27 00:43:11 GMT 2022","55","tests","test_restful_booker_api","TestRestfulBooker","","","test_3_create_booking","Create booking"
"passed","Mon Jun 27 00:42:51 GMT 2022","Mon Jun 27 00:42:51 GMT 2022","0","tests","test_dummy","TestSuite2","","","test_11",""
"passed","Mon Jun 27 00:42:51 GMT 2022","Mon Jun 27 00:42:51 GMT 2022","0","tests","test_dummy","TestSuite2","","","test_12",""
"passed","Mon Jun 27 00:43:09 GMT 2022","Mon Jun 27 00:43:09 GMT 2022","325","tests","test_get_quotes","TestGetQuotes","","","test_get_all_quotes",""
"passed","Mon Jun 27 00:43:01 GMT 2022","Mon Jun 27 00:43:02 GMT 2022","380","tests","test_get_characters","TestCharacters","","","test_character_by_category",""
"passed","Mon Jun 27 00:42:55 GMT 2022","Mon Jun 27 00:42:57 GMT 2022","1218","tests","test_full_reqres_api_MiK","TestReqresAPI","","","test_3_CrUD_user","Creating a user"
"passed","Mon Jun 27 00:43:11 GMT 2022","Mon Jun 27 00:43:12 GMT 2022","649","tests","test_restful_booker_api","TestRestfulBooker","","","test_6_partial_update",""
"passed","Mon Jun 27 00:43:04 GMT 2022","Mon Jun 27 00:43:04 GMT 2022","325","tests","test_get_characters","TestCharacters","","","test_character_by_random",""
"passed","Mon Jun 27 00:43:02 GMT 2022","Mon Jun 27 00:43:02 GMT 2022","764","tests","test_get_characters","TestCharacters","","","test_character_by_category_limit",""
"passed","Mon Jun 27 00:43:11 GMT 2022","Mon Jun 27 00:43:11 GMT 2022","70","tests","test_restful_booker_api","TestRestfulBooker","","","test_4_get_booking_filter_by_id","Get booking filter by id"
"passed","Mon Jun 27 00:43:10 GMT 2022","Mon Jun 27 00:43:11 GMT 2022","363","tests","test_get_quotes","TestGetQuotes","","","test_get_random_quote_from_author",""
"passed","Mon Jun 27 00:43:06 GMT 2022","Mon Jun 27 00:43:06 GMT 2022","340","tests","test_get_characters","TestCharacters","","","test_single_character",""
"passed","Mon Jun 27 00:43:09 GMT 2022","Mon Jun 27 00:43:10 GMT 2022","325","tests","test_get_quotes","TestGetQuotes","","","test_get_quote_by_id",""
"passed","Mon Jun 27 00:43:07 GMT 2022","Mon Jun 27 00:43:07 GMT 2022","396","tests","test_get_episodes","TestEpisodes","","","test_episode_title_in_data",""
